,Review Rate,Review Time,Review Text
201, 5 stars ,a year ago,"Flinder Street Railway Station locates on the corner of Flinder Street and Swanston Street. It is oposite the Federation Square. Flinder Street Station is one of the biggest stations in Melbourne, where you can catch train to all train stations because all trains from different routes depart there."
202, 3 stars ,4 years ago,I live in Melbourne and the station is great it’s big and spacey. They are doing a makeover which is good. But the trains are sometimes or mostly late they are small and dirty. What we really need is to make the trains bigger to make everything perfect. But the station is ok.
203, 4 stars ,4 years ago,"The most amazing and iconic symbol of Melbourne, I generally recommend visiting this beautiful place as its full of history and Melbourne culture. Its just a shame that there's a lot of homeless people and drug addicts skulking around there ruining the beautiful scenery, would love if the MP would move them at some point!"
204, 2 stars ,2 years ago,"One of the more disorganized transport hubs.  Refurbishment, maintenance and a reliable transit service has not been their priority for over 60 years it seems.  Looks nice from outside though!"
205, 5 stars ,2 years ago,"I honestly am so impressed with the lost and property system, I had accidentally left my bag on a train from mount Waverley where I exchanged at Richmond. Realising I had lost my bag I had took the fastest train to Flinders. While I was at …"
206, 4 stars ,4 years ago,Lovely old station. It's good to see they've kept the charm of a time gone by.
207, 4 stars ,3 years ago,"Melbourne's landmark, Flinders Street Station, is situated on the corner of Flinders and Swanston streets in Melbourne city. Looks much fresher and more postcard-worthy since being painted recently and the new brickwork facade is very …"
208, 5 stars ,a year ago,the oldest train station in Melbourne
209, 3 stars ,4 years ago,The historical station is historical an impressive however the operational requirements of that era have changed. When the platforms that trains are leaving from change can there please be notification - screens do not always reflect where the train is going
210, 4 stars ,2 years ago,"It would be great if pt provides more customer service when there are busses replacing train.  It has happened to me a lot that I touch on my myki,  then when I get to my line,  it says there is now train,  but my card has already been changed.  Despite for getting on the replacing bus, we don't need to touch on our myki"
211, 4 stars ,3 years ago,"its very convient, there are many trains you can catch. there's tram stops accross the road. coffee, sandwich, snacks, sushi etc.. are available if hungry / pekish. toilet is better compare to years ago.plus there are customer service …"
212, 4 stars ,2 years ago,Most Melbourne trains start here. Its a crowded place yet well built to accommodate a population. Multiple platforms are here facilitating symultanious   departures to a number of destinations.
213, 4 stars ,a year ago,"One of the most oldest railway stations of Melbourne, which has its history sleeping on each and every inch."
214, 5 stars ,2 years ago,"Major Transit hub for all things Melbourne. Close to Southbank, Federation Square, the Arts Centre, Gardens, Shopping and Tourist precincts. Station is easy to navigate, well signposted and wheelchair friendly. Ticketing, Toilets, Eateries(snacks) and ATMs all located at the main entrance. Don't forget to get a Myki Card."
215, 4 stars ,6 years ago,"Historical train station with a lot of character. Bathrooms need a serious overhaul but it is usually quite clean around the station itself. Located next to numerous tram stops and the Yarra for restaurants, shops and the casino.
Very happening station with plenty of people about."
216, 5 stars ,2 years ago,Great heritage and architecture. Feel protected because of constant police presence. Staff will tell you exactly where to catch your train if you need.
217, 4 stars ,2 years ago,This station is quite convenient if you would like to catch a train. It is well signposted and you will rarely find yourself lost in a metaphorical abyss of confusion. The one star it loses is for the grime and overwhelming stench of the …
218, 4 stars ,3 years ago,"Delays are happened, the station is clean but the signage need to be improves."
219, 2 stars ,3 years ago,"Nice old building, but run down, a bit sad looking. Small concourse with little to do/eat. The turnstiles are slow to react to travel card (myki), and trains services are poor, but that’s more due to wider transport issues."
220, 5 stars ,6 years ago,"Beautiful railway station and a must visit for visitors.

Don't trust their toilets though. It's filthy dirty. Better go for the FedSquare Toilets. Nevertheless, this is the primary hub for Metro Rails"
221, 4 stars ,4 years ago,"Busy, busy, busy here! It is the basically the heart of Melbourne's train service, with all lines being directed here due to its central location and size. Can be very crowded here during the morning and evening rush. Sometimes in the tunnels there can be some leaks when it is raining heavily. Other than that it is fine."
222, 1 star ,4 years ago,"Painful station to use always smells disgusting and no order as to what platform a train will depart, staff are clueless and simply get paid to stand obliviously. Last minute a platform will change and that's Okay apparently. Such a mess. Why spend millions making it pretty if it's so horrible functionally."
223, 5 stars ,3 years ago,"The subway is the most efficient way to get around town. You won't find much assistance from the employees here, so navigating to and from your destinations can be a bit confusing at times. …"
224, 5 stars ,4 years ago,"One of the main railway station of Melbourne city. It is right on the edge of the CBD, a short walk from Federation Square, Hamer Hall, National Gallery of Victoria and Arts Centre Melbourne. It can get quite busy at peak hours but …"
225, 5 stars ,4 years ago,"The station upgrades have helped this station a lot, and the entrance along the Yarra is nice as well. Definitely one of Melbourne's busiest stations and outside of peak hour, it's very nice passing through."
226, 5 stars ,3 years ago,This beautiful railway station is located in the heart of the cbd offering you many destinations to travel with friendly staff to help you with any query if your hungry there is places you can eat not far from the station that will fill the hole in your stomach and satisfy your tastebuds
227, 3 stars ,3 years ago,It's okay. It's big but it's okay. The staff are friendly. They give you the information you need patiently. You need to touch on to go into the station and of course touch off while you go out. I am not able to present a detailed review of …
228, 4 stars ,3 years ago,"This is one of the landmark in the centre of the CBD. Most of the attractions are around this place. Tram runs around this area, please note that tram is free in this area. you can travel free in the CBD. It looks an old building and inside there are some shops for eateries and souvenirs. Worth a visit."
229, 5 stars ,3 years ago,"Iconic from the outside and has been recently refurbished so nice and clean.
Flinders St Station is really the hub of Melbourne transport. With many entrances including Southbank and Swanston St or even Flinders St and Degraves St. It is the perfect start to any city visit."
230, 5 stars ,2 years ago,Melbourne city’s most beautiful railway station...On the night of New Year it will be seen with huge crowd of people enjoying the eve.
231, 5 stars ,2 years ago,A must see place for anyone visiting Melbourne. Iconic.
232, 5 stars ,4 years ago,"Central hub, connected directly to a lot of the train lines (either directly or via the city loop). Friendly staff, and most of the time clear information in case of delays or other issues. The place to go to upon problems in the city loop. …"
233, 5 stars ,2 months ago,Beautiful historic building design
234, 4 stars ,5 years ago,"Great visually from the outside and of course an icon of Melbourne. Toilets however here could really do with an upgrade. All metro train lines run through this station and has most facilities (e.g. toilets, food, atm machines), and even has free wi-fi now!"
235, 4 stars ,4 years ago,"Easy access and convenient location. Trams have a very good frequency, a little bit crowded during rushing hours. A very nice spot for tourists."
236, 5 stars ,a year ago,Beautiful train station 💘
237, 4 stars ,a year ago,Photogenic place at night.... never take your car and visit.... i say never... best option is tram or bus..
238, 4 stars ,2 years ago,Very Busy station. Information display board will nake your life easy if you are new to city. Restrooms are not as clean as they should be.
239, 5 stars ,a year ago,Very crowded because its the main station in Melbourne. Connect to every station in Melbourne. So big and makes me confused but lots of staff that helped me
240, 5 stars ,2 years ago,"Flinders Street is a notable street in Melbourne, Victoria,  Australia Running roughly parallel to the Yarra River, Flinders Street forms the southern edge of the Hoddle Grid. It is exactly 1 mi (1.609 km) in length and one and a …"
241, 3 stars ,4 years ago,Convenient but a little dirty at times
242, 3 stars ,3 years ago,"Ok, like a English railway station, bit cleaner, and people are nice. Toilets are inside the station. Don't mistake it with the southern cross station. A nice Indian restaurant opposite."
243, 4 stars ,7 years ago,Excellent CBD Location where the Old meets the New. Lovely location for a photo journalist as this place is always in high activity. …
244, 5 stars ,a month ago,Beautiful site.
245, 4 stars ,5 years ago,Great railway station - but it has one small flaw. It definitely requires more authority patrolling the complex. More VICPOL officer or private security operatives - it really doesn't matter - as long as there are people of authority close …
246, 4 stars ,3 years ago,"Flinders Street railway station is a railway station on the corner of Flinders and Swanston Streets in Melbourne, Victoria, Australia. It serves the entire metropolitan rail network. Backing onto the city and the Yarra River .    Flinders …"
247, 4 stars ,5 years ago,"Usually always hustling and bustling at flinders. Had no complications with staff. I think the building's architecture is what makes it so exciting. The interior, is a bit more plain and straightforward. There's an info centre in the middle if you get lost."
248, 5 stars ,2 years ago,"Not going to beat around the bush here, I’m 38 years old and severely obese. After tapping off my myki at this station I tried to get through the ticket barrier quickly, but unfortunately due to my size and slow speed, I was caught midway …"
249, 3 stars ,4 years ago,I would prefer that this station has phone charging booths as many people try and find  a socket around there to charge thor mobiles. Also please put a lot of benches as commuters have to sit on those metal poles which ache their bottoms
250, 5 stars ,3 years ago,Favourite station in the city; Well designed easy to move around plenty to eat and drink whilst waiting for your train to arrive. Plenty of staff around the clock to assist you with your needs.
251, 5 stars ,2 years ago,"No Wonder,  Flinders Street station is Icon of Melbourne. Architecture is  Very rich in cultural heritage and it is truly stunning just to visit."
252, 2 stars ,6 years ago,"Generally a fast paced place with people in a hurry to get out of there, and you can understand why; horribly outdated station that really needs to be rebuilt from the ground up. The heritage listed toilets aren't doing anyone any favours..."
253, 4 stars ,3 years ago,"looking BETTERGetting betting
MELBOURNE should be proud of this building
Still needs a WONDERFUL Serene Roof Top Garden n Look OUT Tower"" & a funky …"
254, 5 stars ,a year ago,Fantastic place. Historical architecture and nearby yarra river makes it perfect for complete days outing
255, 4 stars ,4 years ago,"Busiest station in Melbourne...
Lovely place to hang around with various food stalls surrounding. It's a hub of the metro train station to travel all over the Melbourne. Next closest station is southern cross where you can catch the train for interstate too."
256, 5 stars ,4 years ago,Beautiful old Railway station
257, 1 star ,3 years ago,"Place is clean and tidy. However the customer service guy at the entrance booth with beard was so rude when I asked him politely how can i get to werribee station since i couldnt read clearly on the message board due to my eye problem. He said"" come have a look and you tell me where it is""."
258, 5 stars ,2 years ago,Central Melbourne station and is the last stop for the Melbourne city train and have lots of train running the station to different places in daily basis mainly the metro trains.. …
259, 5 stars ,4 years ago,Iconic easy to use station with plenty of great meeting spots re. food & drink. Also got some greasy franchise restaurants if that's your thing on a late night trip home.
260, 5 stars ,3 years ago,A  railway station could be a role model for Indian railway department.. you don't find a single station like the one  any where in  India .... fully loaded with customer care.... smiling  boys and girls  of  guest  care... wow... we have to learn many more things from Western is not only  Pizzas..burgers and pastas..will ever we?
261, 5 stars ,a year ago,Lovely old station but modern facilities. Staff all lovely and helpful. 👍
262, 5 stars ,4 years ago,Heart of Melbourne! Oldest Railway station which was constructed in 1800's
263, 5 stars ,2 years ago,"Convenient access from all around. Close to scenic waterfront. Having best of the malls, restaurants & bars. Don't miss to have Australian beer on Yarra waterfront. 👌👌👌👌"
264, 2 stars ,3 years ago,"Always watch the monitor for the destination to the last minute of your departure, as sometimes it changes without warning. …"
265, 4 stars ,4 years ago,OK as a train station.  A bit cleaning or maintenance is needed though.
266, 3 stars ,5 years ago,"Situated between the famous federation square and St. Paul's cathedral, next to the Yarra river,
Central hub for Melbourne city , nice old building however it's just a station . …"
267, 5 stars ,2 years ago,Nice place to take a fashion photo❤️
268, 5 stars ,4 years ago,"Big station. Limited seating. So if u have long wait to catch train during offpeak then you gonna hate it. Also close to trams around, city Square and Yarra River. Go to Information center opposite Flinders station to find out what to look around Flinders street. Also this is where most of trains stop before entering city loop."
269, 5 stars ,a year ago,"Great architecture, immersive history and a great background to your pics, A must visit place when you are in Melbourne"
270, 4 stars ,a year ago,"One of the most oldest railway stations of Melbourne, which has its history sleeping on each and every inch."
271, 5 stars ,a year ago,Great
272, 5 stars ,a year ago,Well located and easy to get around. Plenty of support and amenities for travellers.
273, 3 stars ,10 months ago,"Its crowed , busy always  & ir always smells like oil"
274, 5 stars ,2 years ago,Great heritage and architecture. Feel protected because of constant police presence. Staff will tell you exactly where to catch your train if you need.
275, 5 stars ,a year ago,Amazing architectural design and antique
276, 4 stars ,2 years ago,One of the busiest stations. Yet managed well! Needs to work on having water dispenser on the station
277, 4 stars ,2 years ago,Most Melbourne trains start here. Its a crowded place yet well built to accommodate a population. Multiple platforms are here facilitating symultanious   departures to a number of destinations.
278, 2 stars ,8 months ago,Toilets could be a lot cleaner.
279, 4 stars ,5 years ago,I always wanted to go here. An Australian icon that I finally got to visit and draw.
280, 4 stars ,2 years ago,"Nice building, but unfortunately they don't treat it with the respect it deserves. Underpasses need a lot of work. Even with the recent upgrades they're still quite dirty and dingy."
281, 5 stars ,3 years ago,Beautiful building. One of the main hubs in the city with trains coming and going constantly and lots of shops around. Easy access to the CBD.
282, 4 stars ,6 years ago,"On the outside, one of the world's greatest train stations. Location by the river and in a really vibrant CBD precinct is outstanding.  But it's so boring and dull. Missed opportunity."
283, 5 stars ,6 months ago,"Great! Efficient train service and a smooth ride. I was in Melbourne last month (end Oct 2018) and had a great trip there. Stayed in my aunt place, commute using Lilydale/Belgrave line. …"
284, 5 stars ,5 years ago,"I like the architect. I am so excited to be here. Eventhough it's too busy here, but I still can enjoy to be here. I love the train station design, amazing."
285, 1 star ,2 years ago,Public Transport Officers at this station are rude and belittling. I feel so uncomfortable when I have to speak to them. They have no people skills or customer service training
286, 5 stars ,5 years ago,"Beautiful, centrally located train station."
287, 3 stars ,4 years ago,"Pretty handy for logistical purposes. One quarm,  I'm not one for quick decisions and when presented with the option of stairs OR an escalator, I get a bit panicked, maybe some advice could be made available to aid such decisions.  I.e the benefits of one vs the other."
288, 5 stars ,2 years ago,Historic and modern both at the same time. An old Victorian era building modernized to have modern facilities and technology.
289, 5 stars ,a year ago,It fascinates me how each life in Melbourne is connected to this iconic railway station
290, 5 stars ,3 years ago,A huge railway terminal with historical buildings!
291, 2 stars ,3 years ago,"Yes, it's a Melbourne 'icon' but it's a dysfunctional dump behind the ugly facade. This hideous old relic from the 1800's is no longer fit for purpose. I'm disappointed the recent ""renovations"" didn't include the use of a wrecking ball !!"
292, 3 stars ,6 years ago,Best spot to catch a train in peak hour if you have a long way to go as you generally get a seat. Down side is depending on your line you then burn 10min in the city loop.
293, 4 stars ,5 years ago,"Not bad.
Could do with more seats on the platforms."
294, 4 stars ,2 years ago,Flinders Street station is an iconic part of Melbourne's life and culture. I was surprised how clean and efficient it was.
295, 3 stars ,3 years ago,"Iconic site, most beautiful at night... even in the rain"
296, 3 stars ,6 years ago,"A grimy train station. Definitely my least favourite in central Melbourne. It runs efficiently, but not a pleasant place to spend time unecessarily.  Will be interesting to see if this changes when the place gets its planned upgrade."
297, 4 stars ,4 years ago,"Busy railway station, but it has a beautiful building exterior"
298, 3 stars ,2 years ago,"This place is quite old, which makes a lot of sense, since it is a historical point, however I think they should give it a little maintenance as it is one of the most important attractions of the city."
299, 5 stars ,4 years ago,"I worked at this station for 20 years, its a Melbourne icon and a fantastic transport hub, I only wish that I could have been around in the 1920s & 1930s it would have been awesome"
300, 3 stars ,2 years ago,Victorian trains are shocking with shocking service. Staff do try their Best to help. There are plenty of cafes
301, 5 stars ,3 years ago,"Very important station next to Yarra River walk. You have all the trams for main avenues, and fast food services."
302, 5 stars ,3 years ago,"Flinders Street railway station is a railway station on the corner of Flinders and Swanston Streets in Melbourne, Victoria, Australia. It serves the entire metropolitan rail network.[2] Backing onto the city reach of the Yarra River in the …"
303, 1 star ,4 years ago,My partner and I were at Flinders St Station on Monday July 10th. We had seen signs at Southern Cross telling us that we needed to catch a bus to Warragul. Four different information people rhen proceeded to give us inaccurate information …
304, 3 stars ,4 years ago,"Very easy to navigate station with staff available to assist.
A negative would be the underground pass ways to other platforms often smell of urine."
305, 1 star ,4 years ago,"No tickets, have to buy a Myki card then load it with cash. I took a single journey. The journey was $4, the Myki card was $6.50. I hope the frdgin walter that thought that was a good idea suffers a long life of erectile and bladder dysfunction."
306, 5 stars ,2 years ago,It's always busy it get me where I need to go. Cross the street and in the alley way lot's of food stall with lot's of variety and in front is federation square further down is tourist center with city tour hop on hop off bus.
307, 5 stars ,6 years ago,I am so happy and over the moon to be part of Team D and Joanne and all the beautifull and helpful staff that helped me all the way! wow! May God continue to bless each and everyone of you and your families....I'm blessed to have u all in my Life. I will keep you all forever in my Heart..... GB
308, 4 stars ,4 years ago,The station at the heart of Melbourne. You can take a Metro train to anywhere in the city from here. It’s also the best stop in the CBD for tourists
309, 4 stars ,4 years ago,An iconic place with rich historial background. Busy on the weekends with street performers and people makes it a great location to capture the hustle of city life.
310, 5 stars ,4 years ago,Love's the station always a very busy day with lot's of myki inspector's on the platforms and pso police officers walking up and down the streets and love's the food places around there always seems very awesome with tasty foods and always crowded with people everywhere in the morning and on afternoon hour peeks and the evenings! :)
311, 4 stars ,5 years ago,Very big old train station. Under constant renovation.
312, 4 stars ,6 years ago,"It's iconic and is the meeting place ""meet me under the clocks"" but the blend of modern and old is crap. So much of the place is falling to bits. Look after the old lady Victoria."
313, 4 stars ,a year ago,"Great customer service, great small takeout places nearby and generally all the services run on-time"
314, 1 star ,5 years ago,This station is an Old Relic.  don't like it to many delays and not space.  food to expensive. lazy police are about and pick on anyone that looks at them or even J walks in front of them. terrible station not the safest station
315, 1 star ,3 years ago,"the food stores upstairs the little chinese place that sells dims sims etc sold me a raw dim sums which has now given me salmonella, if there was an option for a lower star i would probably give you like a -43 maybe . don’t eat there"
316, 2 stars ,4 years ago,"Hopeless train station.ticket inspectors have no professionalism nor the cleaners.I think metro has more staff than the passengers.
No water fountain inside the train station and they are on a multi million dollars make over for the station."
317, 5 stars ,3 years ago,Great station in both day and night !!
318, 4 stars ,11 months ago,Very busy station but easy to get help when required.
319, 4 stars ,a year ago,South East line drivers savings electricity because they are not turn on train heaters even in strong winter.
320, 5 stars ,6 years ago,"The façade of Flinders Stn. is iconic!  For me, it represents the  heart of the city; a hub for all, hence why people ""meet under the Clocks"". If visiting Melbourne, even if not using public transport, 'stop' by and have a look. Additionally, Federation Square is opposite Flinders, which is a bonus."
321, 4 stars ,3 years ago,"The heart of Melbourne’ Metro.
It is quite a historic place since it needs a substantial development.
It is almost busy in the rush hours as well as the area around."
322, 5 stars ,2 years ago,"Authentic, classy and spectacularly presented 1900s train station. Great place for a photo opportunity A+"
323, 1 star ,2 years ago,"From the south side of station, does not tell you where the trains are going do you have to go up each ramp until you find the correct line"
324, 5 stars ,5 years ago,It's proximity to many locations around the city is very good. The place could use an uplift and cleaning but the trains are mostly on time.
325, 5 stars ,3 years ago,So busy yet beautiful.
326, 5 stars ,4 years ago,It is a great example of well preserved Victorian buildings in Australia. The building is the blending of old and new in transportation history.
327, 1 star ,4 years ago,"Full-of-dirt.
Toilet are so damn disgusting and only a few ticket machine? This is the main, iconic station of Melb? Ew …"
328, 4 stars ,3 years ago,"Station fine, it's the morons that pay more attention to their bloody phones, than what's going on around them, that makes what should be a simple task of navigation, near impossible. So bloody frustrating."
329, 4 stars ,3 years ago,"Nice ambience . You would love the hustle of the city. Pretty lively place full of food , shopping and office areas. Fantastic place to hang around."
330, 4 stars ,2 weeks ago,👍 good
331, 5 stars ,2 years ago,"The best railway stations i ever see, the whole route available and this some kind historic building also"
332, 5 stars ,10 months ago,Flinders Street Ballroom should be restored and public access returned.
333, 4 stars ,6 years ago,"Flinder's street station is iconic. Once the busiest train station in the world (in the 1920ies.) Now, just busy, but friendly helpful staff."
334, 3 stars ,2 years ago,"“Let’s meet under the clocks.” Refers to the thirteen clocks hanging above the entrance to Flinders Street Railway Station, indicating the departure time of the next train on the 13 train routes, not the time around the world."
335, 4 stars ,6 years ago,"Beautiful architecture, average station hassles. Staff and guards are generally good with assistance if you've got yourself turned around."
336, 5 stars ,2 years ago,"iconic station, amazing building"
337, 5 stars ,3 months ago,Peaceful history at its best
338, 1 star ,3 years ago,This place is an iconic piece of Melbourne for sure. But it is also a disorganised dump. Management is abysmal and delays are frequent.
339, 4 stars ,a year ago,It's big station with old building stuff beautiful light colour plus snaks shops..
340, 5 stars ,4 years ago,Never miss it if you come to Melbourne.
341, 4 stars ,3 years ago,One of the busiest stations in Melbourne.
342, 5 stars ,2 years ago,One of the beautiful train station building in Australia
343, 5 stars ,2 years ago,Historical Station that has been upgraded. Nice to see Metro staff there to answer questions and provide up to date information.
344, 5 stars ,9 months ago,"How can one not love Flinders Street, right on those stairs many people have sat and walked."
345, 4 stars ,5 years ago,I always wanted to go here. An Australian icon that I finally got to visit and draw.
346, 4 stars ,2 years ago,One of the busiest stations. Yet managed well! Needs to work on having water dispenser on the station
347, 4 stars ,4 years ago,"Nice railway, quite easy to navigate where you're going but probably wouldn't suggest using the bathrooms if you can help it"
348, 5 stars ,3 years ago,It has been 35 years since I caught a train and times have changed. The old blended with the new. I forgot that you could not smoke on the platform! That was a #throwback moment. #flindersstreet
349, 5 stars ,2 years ago,"security was just vibin, they let me run through without my miki and a knife in my hand. they ignored the blood and let me through, real G's !"
350, 4 stars ,5 years ago,"Nice building, apparently iconic. Neighbourhood is great though, sizzling place, lots to eat shop, walk, all for small or big budget, very nice part of town"
351, 5 stars ,2 years ago,Plenty of info and very easy to navigate around the station. I feel very safe with staff posted in multiple places.
352, 5 stars ,a year ago,"I love this place, it is the best museum in Sydney ngl"
353, 5 stars ,3 years ago,"Very clean station, screens show up to date train information clearly showing platforms and departure times. Wide range of food stalls."
354, 5 stars ,3 years ago,Nice place to be on the street to enjoy night lofe. Crown is near yarra river is best place to take photographs at night.
355, 5 stars ,a month ago,Beautiful building
356, 5 stars ,5 years ago,The heart of this great city... Beating Day & Night 😉
357, 5 stars ,4 years ago,"Busiest station amazing place to take photos.
Amazing places to hang around with so many stalls which looks really cool."
358, 5 stars ,3 years ago,"Really lovely staff!  Always friendly, helpful and funny on the mic. Particularly nice guy there named Peter."
359, 4 stars ,2 years ago,Pretty good station can get busy though especially after a game at the mcg
360, 4 stars ,3 years ago,From Manchester Ln- Flinders Ln to the Subway under Flinders Street Station are many lovely coffee shop and restaurant.
361, 5 stars ,5 years ago,"It is a hub for Melbourne train users east,  West, North and south this the place to be. Full of life I would call it the cosmopolitan station"
362, 5 stars ,3 years ago,"The customer service man on platforms 6 and 7 this morning was absolutely lovely, and helpful! At 9:20! Really great!"
363, 5 stars ,3 years ago,Such a lovely train station to visit. The Japanese place does amazing Japanese pancakes
364, 5 stars ,7 months ago,Easy way to go around and cheap tickets.
365, 4 stars ,9 months ago,It’s greater Melbourne railway station hub
366, 1 star ,3 years ago,"Have a monthly ticket, am required to tap on every time, even though am advised that I just need a valid ticket to travel"
367, 2 stars ,4 years ago,"Nice looking station but that woman with the microphone constantly talking really needs to shut up  a little.
That's the last thing anyone wants to hear after a long day."
368, 4 stars ,4 years ago,"Great station, the workers are highly trained, the passengers are off the rails though, -1 star because trains killed my family"
369, 3 stars ,11 months ago,At Flinders station like a drama queen😂 always something happens here  when you in a hurry to get home after work🤔
370, 5 stars ,a year ago,Well located and easy to get around. Plenty of support and amenities for travellers.
371, 5 stars ,6 months ago,"Amazing place, amazing view!!!"
372, 2 stars ,4 years ago,i have used this train station for 20 plus years so what can i say its not a clean train station lack of facility's such as toilets that work or are clean over priced food staff are no friendly at all also so attracts dodge characters Hench why i avoid catching a train to the city and opt to drive in
373, 4 stars ,3 years ago,Great and historical railway station which has been recently restored to it's early days looks
374, 1 star ,3 years ago,Flinder street station is hub on metro train but there is lots of issue signal problem etc  every time signal problem so train stop on middle of Richmond & flinder street.
375, 5 stars ,3 years ago,Iconic Melbourne attraction which some precious hidden gems that I don't want to tell more in detail here ;)
376, 5 stars ,6 years ago,A beautiful building with amazing architecture. If you visit Melbourne this is definitely somewhere you want to visit.
377, 5 stars ,a year ago,One of the most popular and great Train Station in the heart of Melbourne.
378, 5 stars ,4 years ago,"Great place, convenient located. The staff is always ready to point you in the right direction. Iconic building"
379, 5 stars ,2 years ago,Melbourne's most iconic building is beautiful by day and stunning by night!
380, 4 stars ,4 years ago,Travellers lounge is an added advantage. Cafes and dining area create a pleasant ambience.
381, 4 stars ,2 years ago,Cool train station.
382, 5 stars ,4 years ago,Friendly staff and convenient to travel to anywhere from here
383, 2 stars ,6 years ago,"Only good for catching a connecting service. If you have to exit the station from the front steps, it can smell sometimes."
384, 5 stars ,4 months ago,There is a lot going on at Flinders Street Station
385, 5 stars ,a year ago,One of the most recognisable landmarks in Melbourne. Loved it.
386, 5 stars ,a month ago,A piece of Melbourne history
387, 1 star ,5 years ago,Very bad. Trains are generally late or all of a sudden it becomes a different line. Or you have to go to another platform as the train rolls in. Get it together Metro!!!!
388, 4 stars ,2 years ago,Nice interior which are a classic of traditional European architecture with modern equipments and amenities.
389, 4 stars ,3 years ago,Good location with food stalls. Exit onto Federation Square and breathtaking views of the city.
390, 5 stars ,3 years ago,Iconic piece of Melbourne and the meeting place for everyone getting into the city it's always great service
391, 4 stars ,3 years ago,Self service by myKi cards. Satisfactory toilets available. Little bit busy place.
392, 4 stars ,2 years ago,"It's much better than it once was, well worth a visit, especially if your a tourist."
393, 1 star ,4 years ago,Two's company three's a crowd and when I sense the lord god's own nature I feel like shifty filth in other people's sharing humane companionship. And I truly can do it all ... Dear sir
394, 5 stars ,2 years ago,Flinders Street Station is heart of Melbourne. If you haven’t visited this place then you haven’t visited Melbourne.
395, 4 stars ,10 months ago,"Always different gets me to where I need, trains on time."
396, 5 stars ,2 years ago,"Has that old look but love it, great management and a train home every 15 min"
397, 1 star ,a year ago,"I hate these trains, would rather walk barefoot over broken glass next time."
398, 4 stars ,2 years ago,Always a bit of color here never actually changes much and it is the heart of public transport in Melbourne
399, 3 stars ,10 months ago,"Its crowed , busy always  & ir always smells like oil"
400, 5 stars ,2 years ago,Nice place for visitors.
401, 4 stars ,4 years ago,Great food great timing and train lines and connections the only down side is the amount of foot traffic
402, 4 stars ,4 years ago,Easy to navigate and nice food outlets and coffee but not a lot to do when waiting for a train
403, 1 star ,3 years ago,"Teach your staff at the customer service to know how to use communication skills, I clearly asked to top up $3 only to realise when I touched off from the city that he topped up $30 instead, fkn stupid"
404, 4 stars ,5 years ago,"Great station,  central location to the city, close to all other forms of public transport."
405, 5 stars ,5 years ago,The nucleus of Metro trains. The architecture of the station speaks about its rich heritage
406, 5 stars ,a year ago,Iconic Australia. Go there is a must....Peking Duck restaurant....
407, 5 stars ,5 years ago,Crowded but fairly well organized train station. You can reach every corner of Melbourne from here.
408, 5 stars ,2 years ago,"What a sight to behold, would be fantastic once restored throughout the entire space, so much room left untapped !"
409, 2 stars ,3 years ago,Almost 5 dollars for a ticket and it’s always delayed. Why charging so much if you aren’t going to provide a reliable service?
410, 5 stars ,2 years ago,Beautiful train station definitely a landmark in Melbourne City loved it
411, 5 stars ,5 years ago,Good place to start your Melbourne city tour It is located in the heart of the city Good food places around Shopping etc etc
412, 5 stars ,6 months ago,"Friendly staff, and quick service"
413, 5 stars ,2 years ago,"An absolute beauty this classic building of an early Edwardian Masterpiece, it's a must check-out!!!!?."
414, 5 stars ,3 years ago,Nice and antique building.
415, 5 stars ,6 years ago,"With a timeless facade, flinder street is an icon for Melbourne. You can even catch trains here"
416, 5 stars ,a year ago,"Nice old building where you can see Siemens, Xtrapolis and Comeng trains"
417, 3 stars ,a year ago,Always super busy but beautiful character of Melbourne
418, 5 stars ,6 years ago,"Best train station in Melbourne, even if they never bother renovating it properly."
419, 2 stars ,3 years ago,Stunning but trains were late and we missed our flight back to Monaco!!!
420, 5 stars ,6 years ago,A really beautiful old railway station that is a must see for any who is visiting the city.
421, 5 stars ,3 years ago,"Busiest  Train station In melbourne,under the heritage looking classic building."
422, 5 stars ,2 years ago,Easy to navigate around with lots of staff to answer questions. Always felt safe here...
423, 5 stars ,2 years ago,The lights on the exterior are very nice the building looks like chalk
424, 4 stars ,3 years ago,Part of Melbourne's history!
425, 4 stars ,a year ago,Good station look but trains are not on time
426, 4 stars ,3 years ago,White Night had amazing projected images on the buildings and the crowd was buzzing with excitement
427, 3 stars ,5 years ago,A great place to get out of! They are in the process of refurbishing the buildings- not before time in my opinion.
428, 5 stars ,5 years ago,"What a station! It has steps and a clock. Be warned, frequent sightings of hipsters and emo children have been reported."
429, 4 stars ,6 years ago,"Great tourist attraction which is also the universal meeting place of Melbourne, Under the clocks."
430, 5 stars ,11 months ago,It looks great and is easy to navigate.
431, 5 stars ,3 months ago,Great station
432, 3 stars ,3 years ago,Platform 8 & 9 escalators need some maintenance  - urgently. Squeaky - painful on the ears!
433, 5 stars ,3 years ago,What isn't to like about Flinders Street Railway Station. The building is beautiful.
434, 5 stars ,9 months ago,Free ciggys mate 🐀🏙️ see U on the steps
435, 3 stars ,4 years ago,nice stations I recommend being in a group when visiting due to a high crime rate but its a nice place
436, 5 stars ,2 years ago,Awesome Place!
437, 3 stars ,4 years ago,It is a great location in the heart of the city to hang out with the friends and have a good view in the city and more....
